0016070 Bypass Cerebral Ventricle to Nasopharynx with Autologous Tissue Substitute, Open Approach
02130A8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach
02130A9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach
02130AC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Open Approach
02130AF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Arterial Tissue, Open Approach
02130AW Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Arterial Tissue, Open Approach
02130J3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Synthetic Substitute, Open Approach
02130J8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Synthetic Substitute, Open Approach
02130J9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Synthetic Substitute, Open Approach
02130JC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Synthetic Substitute, Open Approach
02130JF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Synthetic Substitute, Open Approach
02130JW Bypass Coronary Artery, Four or More Arteries from Aorta with Synthetic Substitute, Open Approach
02130K3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Nonautologous Tissue Substitute, Open Approach
02130K8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Open Approach
02130K9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Open Approach
02130KC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Open Approach
02130KF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Open Approach
02130KW Bypass Coronary Artery, Four or More Arteries from Aorta with Nonautologous Tissue Substitute, Open Approach
02130Z3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery, Open Approach
02130Z8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary, Open Approach
02130Z9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary, Open Approach
02130ZC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Open Approach
02130ZF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery, Open Approach
0213344 Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Approach
02133D4 Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Intraluminal Device, Percutaneous Approach
0213444 Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach
0213483 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
0213488 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
0213489 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Zooplastic Tissue, Percutaneous Endoscopic Approach
021348C Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021348F Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021348W Bypass Coronary Artery, Four or More Arteries from Aorta with Zooplastic Tissue, Percutaneous Endoscopic Approach
0213493 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
0213498 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
0213499 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021349C Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021349F Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021349W Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Percutaneous Endoscopic Approach
02134A3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134A8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134A9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134AC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134AF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134AW Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02134D4 Bypass Coronary Artery, Four or More Arteries from Coronary Vein with Intraluminal Device, Percutaneous Endoscopic Approach
02134J3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02134J8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
02134J9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Synthetic Substitute, Percutaneous Endoscopic Approach
02134JC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02134JF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02134JW Bypass Coronary Artery, Four or More Arteries from Aorta with Synthetic Substitute, Percutaneous Endoscopic Approach
02134K3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134K8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134K9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134KC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134KF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134KW Bypass Coronary Artery, Four or More Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02134Z3 Bypass Coronary Artery, Four or More Arteries from Coronary Artery, Percutaneous Endoscopic Approach
02134Z8 Bypass Coronary Artery, Four or More Arteries from Right Internal Mammary, Percutaneous Endoscopic Approach
02134Z9 Bypass Coronary Artery, Four or More Arteries from Left Internal Mammary, Percutaneous Endoscopic Approach
02134ZC Bypass Coronary Artery, Four or More Arteries from Thoracic Artery, Percutaneous Endoscopic Approach
02134ZF Bypass Coronary Artery, Four or More Arteries from Abdominal Artery, Percutaneous Endoscopic Approach
021608P Bypass Right Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach
021608Q Bypass Right Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach
021608R Bypass Right Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach
021609P Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach
021609Q Bypass Right Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach
021609R Bypass Right Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach
02160AP Bypass Right Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach
02160AQ Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach
02160AR Bypass Right Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach
02160JP Bypass Right Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach
02160JQ Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach
02160JR Bypass Right Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach
02160KP Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach
02160KQ Bypass Right Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
02160KR Bypass Right Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
02160Z7 Bypass Right Atrium to Left Atrium, Open Approach
02160ZP Bypass Right Atrium to Pulmonary Trunk, Open Approach
02160ZQ Bypass Right Atrium to Right Pulmonary Artery, Open Approach
02160ZR Bypass Right Atrium to Left Pulmonary Artery, Open Approach
02163Z7 Bypass Right Atrium to Left Atrium, Percutaneous Approach
021648P Bypass Right Atrium to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach
021648Q Bypass Right Atrium to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021648R Bypass Right Atrium to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021649P Bypass Right Atrium to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021649Q Bypass Right Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021649R Bypass Right Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
02164AP Bypass Right Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02164AQ Bypass Right Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02164AR Bypass Right Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02164JP Bypass Right Atrium to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach
02164JQ Bypass Right Atrium to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02164JR Bypass Right Atrium to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02164KP Bypass Right Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02164KQ Bypass Right Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02164KR Bypass Right Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02164Z7 Bypass Right Atrium to Left Atrium, Percutaneous Endoscopic Approach
02164ZP Bypass Right Atrium to Pulmonary Trunk, Percutaneous Endoscopic Approach
02164ZQ Bypass Right Atrium to Right Pulmonary Artery, Percutaneous Endoscopic Approach
02164ZR Bypass Right Atrium to Left Pulmonary Artery, Percutaneous Endoscopic Approach
021708P Bypass Left Atrium to Pulmonary Trunk with Zooplastic Tissue, Open Approach
021708Q Bypass Left Atrium to Right Pulmonary Artery with Zooplastic Tissue, Open Approach
021708R Bypass Left Atrium to Left Pulmonary Artery with Zooplastic Tissue, Open Approach
021708S Bypass Left Atrium to Right Pulmonary Vein with Zooplastic Tissue, Open Approach
021708T Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Open Approach
021708U Bypass Left Atrium to Pulmonary Vein Confluence with Zooplastic Tissue, Open Approach
021709P Bypass Left Atrium to Pulmonary Trunk with Autologous Venous Tissue, Open Approach
021709Q Bypass Left Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach
021709R Bypass Left Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach
021709S Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Open Approach
021709T Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Open Approach
021709U Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Venous Tissue, Open Approach
02170AP Bypass Left Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach
02170AQ Bypass Left Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach
02170AR Bypass Left Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach
02170AS Bypass Left Atrium to Right Pulmonary Vein with Autologous Arterial Tissue, Open Approach
02170AT Bypass Left Atrium to Left Pulmonary Vein with Autologous Arterial Tissue, Open Approach
02170AU Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Arterial Tissue, Open Approach
02170JP Bypass Left Atrium to Pulmonary Trunk with Synthetic Substitute, Open Approach
02170JQ Bypass Left Atrium to Right Pulmonary Artery with Synthetic Substitute, Open Approach
02170JR Bypass Left Atrium to Left Pulmonary Artery with Synthetic Substitute, Open Approach
02170JS Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Open Approach
02170JT Bypass Left Atrium to Left Pulmonary Vein with Synthetic Substitute, Open Approach
02170JU Bypass Left Atrium to Pulmonary Vein Confluence with Synthetic Substitute, Open Approach
02170KP Bypass Left Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach
02170KQ Bypass Left Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
02170KR Bypass Left Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
02170KS Bypass Left Atrium to Right Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
02170KT Bypass Left Atrium to Left Pulmonary Vein with Nonautologous Tissue Substitute, Open Approach
02170KU Bypass Left Atrium to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Open Approach
02170ZP Bypass Left Atrium to Pulmonary Trunk, Open Approach
02170ZQ Bypass Left Atrium to Right Pulmonary Artery, Open Approach
02170ZR Bypass Left Atrium to Left Pulmonary Artery, Open Approach
02170ZS Bypass Left Atrium to Right Pulmonary Vein, Open Approach
02170ZT Bypass Left Atrium to Left Pulmonary Vein, Open Approach
02170ZU Bypass Left Atrium to Pulmonary Vein Confluence, Open Approach
02173J6 Bypass Left Atrium to Right Atrium with Synthetic Substitute, Percutaneous Approach
021748P Bypass Left Atrium to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach
021748Q Bypass Left Atrium to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021748R Bypass Left Atrium to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021748S Bypass Left Atrium to Right Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
021748T Bypass Left Atrium to Left Pulmonary Vein with Zooplastic Tissue, Percutaneous Endoscopic Approach
021748U Bypass Left Atrium to Pulmonary Vein Confluence with Zooplastic Tissue, Percutaneous Endoscopic Approach
021749P Bypass Left Atrium to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021749Q Bypass Left Atrium to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021749R Bypass Left Atrium to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021749S Bypass Left Atrium to Right Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021749T Bypass Left Atrium to Left Pulmonary Vein with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021749U Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Venous Tissue, Percutaneous Endoscopic Approach
02174AP Bypass Left Atrium to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174AQ Bypass Left Atrium to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174AR Bypass Left Atrium to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174AS Bypass Left Atrium to Right Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174AT Bypass Left Atrium to Left Pulmonary Vein with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174AU Bypass Left Atrium to Pulmonary Vein Confluence with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
02174JP Bypass Left Atrium to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach
02174JQ Bypass Left Atrium to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02174JR Bypass Left Atrium to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
02174JS Bypass Left Atrium to Right Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
02174JT Bypass Left Atrium to Left Pulmonary Vein with Synthetic Substitute, Percutaneous Endoscopic Approach
02174JU Bypass Left Atrium to Pulmonary Vein Confluence with Synthetic Substitute, Percutaneous Endoscopic Approach
02174KP Bypass Left Atrium to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174KQ Bypass Left Atrium to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174KR Bypass Left Atrium to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174KS Bypass Left Atrium to Right Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174KT Bypass Left Atrium to Left Pulmonary Vein with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174KU Bypass Left Atrium to Pulmonary Vein Confluence with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
02174ZP Bypass Left Atrium to Pulmonary Trunk, Percutaneous Endoscopic Approach
02174ZQ Bypass Left Atrium to Right Pulmonary Artery, Percutaneous Endoscopic Approach
02174ZR Bypass Left Atrium to Left Pulmonary Artery, Percutaneous Endoscopic Approach
02174ZS Bypass Left Atrium to Right Pulmonary Vein, Percutaneous Endoscopic Approach
02174ZT Bypass Left Atrium to Left Pulmonary Vein, Percutaneous Endoscopic Approach
02174ZU Bypass Left Atrium to Pulmonary Vein Confluence, Percutaneous Endoscopic Approach
021K08P Bypass Right Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach
021K08Q Bypass Right Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach
021K08R Bypass Right Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach
021K09P Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach
021K09Q Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach
021K09R Bypass Right Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach
021K0AP Bypass Right Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach
021K0AQ Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach
021K0AR Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach
021K0JP Bypass Right Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach
021K0JQ Bypass Right Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach
021K0JR Bypass Right Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach
021K0KP Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach
021K0KQ Bypass Right Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
021K0KR Bypass Right Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
021K0Z5 Bypass Right Ventricle to Coronary Circulation, Open Approach
021K0Z8 Bypass Right Ventricle to Right Internal Mammary, Open Approach
021K0Z9 Bypass Right Ventricle to Left Internal Mammary, Open Approach
021K0ZC Bypass Right Ventricle to Thoracic Artery, Open Approach
021K0ZF Bypass Right Ventricle to Abdominal Artery, Open Approach
021K0ZP Bypass Right Ventricle to Pulmonary Trunk, Open Approach
021K0ZQ Bypass Right Ventricle to Right Pulmonary Artery, Open Approach
021K0ZR Bypass Right Ventricle to Left Pulmonary Artery, Open Approach
021K0ZW Bypass Right Ventricle to Aorta, Open Approach
021K48P Bypass Right Ventricle to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach
021K48Q Bypass Right Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021K48R Bypass Right Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021K49P Bypass Right Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021K49Q Bypass Right Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021K49R Bypass Right Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021K4AP Bypass Right Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021K4AQ Bypass Right Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021K4AR Bypass Right Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021K4JP Bypass Right Ventricle to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach
021K4JQ Bypass Right Ventricle to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
021K4JR Bypass Right Ventricle to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
021K4KP Bypass Right Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021K4KQ Bypass Right Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021K4KR Bypass Right Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021K4Z5 Bypass Right Ventricle to Coronary Circulation, Percutaneous Endoscopic Approach
021K4Z8 Bypass Right Ventricle to Right Internal Mammary, Percutaneous Endoscopic Approach
021K4Z9 Bypass Right Ventricle to Left Internal Mammary, Percutaneous Endoscopic Approach
021K4ZC Bypass Right Ventricle to Thoracic Artery, Percutaneous Endoscopic Approach
021K4ZF Bypass Right Ventricle to Abdominal Artery, Percutaneous Endoscopic Approach
021K4ZP Bypass Right Ventricle to Pulmonary Trunk, Percutaneous Endoscopic Approach
021K4ZQ Bypass Right Ventricle to Right Pulmonary Artery, Percutaneous Endoscopic Approach
021K4ZR Bypass Right Ventricle to Left Pulmonary Artery, Percutaneous Endoscopic Approach
021K4ZW Bypass Right Ventricle to Aorta, Percutaneous Endoscopic Approach
021L08P Bypass Left Ventricle to Pulmonary Trunk with Zooplastic Tissue, Open Approach
021L08Q Bypass Left Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Open Approach
021L08R Bypass Left Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Open Approach
021L09P Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Open Approach
021L09Q Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Open Approach
021L09R Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Open Approach
021L0AP Bypass Left Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Open Approach
021L0AQ Bypass Left Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Open Approach
021L0AR Bypass Left Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Open Approach
021L0JP Bypass Left Ventricle to Pulmonary Trunk with Synthetic Substitute, Open Approach
021L0JQ Bypass Left Ventricle to Right Pulmonary Artery with Synthetic Substitute, Open Approach
021L0JR Bypass Left Ventricle to Left Pulmonary Artery with Synthetic Substitute, Open Approach
021L0KP Bypass Left Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Open Approach
021L0KQ Bypass Left Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
021L0KR Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Open Approach
021L0Z5 Bypass Left Ventricle to Coronary Circulation, Open Approach
021L0Z8 Bypass Left Ventricle to Right Internal Mammary, Open Approach
021L0Z9 Bypass Left Ventricle to Left Internal Mammary, Open Approach
021L0ZC Bypass Left Ventricle to Thoracic Artery, Open Approach
021L0ZF Bypass Left Ventricle to Abdominal Artery, Open Approach
021L0ZP Bypass Left Ventricle to Pulmonary Trunk, Open Approach
021L0ZQ Bypass Left Ventricle to Right Pulmonary Artery, Open Approach
021L0ZR Bypass Left Ventricle to Left Pulmonary Artery, Open Approach
021L0ZW Bypass Left Ventricle to Aorta, Open Approach
021L48P Bypass Left Ventricle to Pulmonary Trunk with Zooplastic Tissue, Percutaneous Endoscopic Approach
021L48Q Bypass Left Ventricle to Right Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021L48R Bypass Left Ventricle to Left Pulmonary Artery with Zooplastic Tissue, Percutaneous Endoscopic Approach
021L49P Bypass Left Ventricle to Pulmonary Trunk with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021L49Q Bypass Left Ventricle to Right Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021L49R Bypass Left Ventricle to Left Pulmonary Artery with Autologous Venous Tissue, Percutaneous Endoscopic Approach
021L4AP Bypass Left Ventricle to Pulmonary Trunk with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021L4AQ Bypass Left Ventricle to Right Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021L4AR Bypass Left Ventricle to Left Pulmonary Artery with Autologous Arterial Tissue, Percutaneous Endoscopic Approach
021L4JP Bypass Left Ventricle to Pulmonary Trunk with Synthetic Substitute, Percutaneous Endoscopic Approach
021L4JQ Bypass Left Ventricle to Right Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
021L4JR Bypass Left Ventricle to Left Pulmonary Artery with Synthetic Substitute, Percutaneous Endoscopic Approach
021L4KP Bypass Left Ventricle to Pulmonary Trunk with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021L4KQ Bypass Left Ventricle to Right Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021L4KR Bypass Left Ventricle to Left Pulmonary Artery with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach
021L4Z5 Bypass Left Ventricle to Coronary Circulation, Percutaneous Endoscopic Approach
021L4Z8 Bypass Left Ventricle to Right Internal Mammary, Percutaneous Endoscopic Approach
021L4Z9 Bypass Left Ventricle to Left Internal Mammary, Percutaneous Endoscopic Approach
021L4ZC Bypass Left Ventricle to Thoracic Artery, Percutaneous Endoscopic Approach
021L4ZF Bypass Left Ventricle to Abdominal Artery, Percutaneous Endoscopic Approach
021L4ZP Bypass Left Ventricle to Pulmonary Trunk, Percutaneous Endoscopic Approach
021L4ZQ Bypass Left Ventricle to Right Pulmonary Artery, Percutaneous Endoscopic Approach
021L4ZR Bypass Left Ventricle to Left Pulmonary Artery, Percutaneous Endoscopic Approach
021L4ZW Bypass Left Ventricle to Aorta, Percutaneous Endoscopic Approach
021P08A Bypass Pulmonary Trunk from Innominate Artery with Zooplastic Tissue, Open Approach
021P08B Bypass Pulmonary Trunk from Subclavian with Zooplastic Tissue, Open Approach
021P08D Bypass Pulmonary Trunk from Carotid with Zooplastic Tissue, Open Approach
021P09A Bypass Pulmonary Trunk from Innominate Artery with Autologous Venous Tissue, Open Approach
021P09B Bypass Pulmonary Trunk from Subclavian with Autologous Venous Tissue, Open Approach
021P09D Bypass Pulmonary Trunk from Carotid with Autologous Venous Tissue, Open Approach
021P0AA Bypass Pulmonary Trunk from Innominate Artery with Autologous Arterial Tissue, Open Approach
021P0AB Bypass Pulmonary Trunk from Subclavian with Autologous Arterial Tissue, Open Approach
021P0AD Bypass Pulmonary Trunk from Carotid with Autologous Arterial Tissue, Open Approach
021P0JA Bypass Pulmonary Trunk from Innominate Artery with Synthetic Substitute, Open Approach
021P0JB Bypass Pulmonary Trunk from Subclavian with Synthetic Substitute, Open Approach
021P0JD Bypass Pulmonary Trunk from Carotid with Synthetic Substitute, Open Approach
021P0KA Bypass Pulmonary Trunk from Innominate Artery with Nonautologous Tissue Substitute, Open Approach
021P0KB Bypass Pulmonary Trunk from Subclavian with Nonautologous Tissue Substitute, Open Approach
