00001 A00     0 Cholera                                                      Cholera
04536 E503    1 Vitamin A deficiency with corneal ulceration and xerosis     Vitamin A deficiency with corneal ulceration and xerosis
04537 E504    1 Vitamin A deficiency with keratomalacia                      Vitamin A deficiency with keratomalacia
04538 E505    1 Vitamin A deficiency with night blindness                    Vitamin A deficiency with night blindness
04539 E506    1 Vitamin A deficiency with xerophthalmic scars of cornea      Vitamin A deficiency with xerophthalmic scars of cornea
04540 E507    1 Other ocular manifestations of vitamin A deficiency          Other ocular manifestations of vitamin A deficiency
04541 E508    1 Other manifestations of vitamin A deficiency                 Other manifestations of vitamin A deficiency
04542 E509    1 Vitamin A deficiency, unspecified                            Vitamin A deficiency, unspecified
04543 E51     0 Thiamine deficiency                                          Thiamine deficiency
04544 E511    0 Beriberi                                                     Beriberi
04545 E5111   1 Dry beriberi                                                 Dry beriberi
04546 E5112   1 Wet beriberi                                                 Wet beriberi
04547 E512    1 Wernicke's encephalopathy                                    Wernicke's encephalopathy
04548 E518    1 Other manifestations of thiamine deficiency                  Other manifestations of thiamine deficiency
04549 E519    1 Thiamine deficiency, unspecified                             Thiamine deficiency, unspecified
04550 E52     1 Niacin deficiency [pellagra]                                 Niacin deficiency [pellagra]
04551 E53     0 Deficiency of other B group vitamins                         Deficiency of other B group vitamins
04552 E530    1 Riboflavin deficiency                                        Riboflavin deficiency
04553 E531    1 Pyridoxine deficiency                                        Pyridoxine deficiency
04554 E538    1 Deficiency of other specified B group vitamins               Deficiency of other specified B group vitamins
04555 E539    1 Vitamin B deficiency, unspecified                            Vitamin B deficiency, unspecified
04556 E54     1 Ascorbic acid deficiency                                     Ascorbic acid deficiency
04557 E55     0 Vitamin D deficiency                                         Vitamin D deficiency
04558 E550    1 Rickets, active                                              Rickets, active
04559 E559    1 Vitamin D deficiency, unspecified                            Vitamin D deficiency, unspecified
04560 E56     0 Other vitamin deficiencies                                   Other vitamin deficiencies
04561 E560    1 Deficiency of vitamin E                                      Deficiency of vitamin E
04562 E561    1 Deficiency of vitamin K                                      Deficiency of vitamin K
04563 E568    1 Deficiency of other vitamins                                 Deficiency of other vitamins
04564 E569    1 Vitamin deficiency, unspecified                              Vitamin deficiency, unspecified
04565 E58     1 Dietary calcium deficiency                                   Dietary calcium deficiency
04566 E59     1 Dietary selenium deficiency                                  Dietary selenium deficiency
04567 E60     1 Dietary zinc deficiency                                      Dietary zinc deficiency
04568 E61     0 Deficiency of other nutrient elements                        Deficiency of other nutrient elements
04569 E610    1 Copper deficiency                                            Copper deficiency
04570 E611    1 Iron deficiency                                              Iron deficiency
04571 E612    1 Magnesium deficiency                                         Magnesium deficiency
04572 E613    1 Manganese deficiency                                         Manganese deficiency
04573 E614    1 Chromium deficiency                                          Chromium deficiency
04574 E615    1 Molybdenum deficiency                                        Molybdenum deficiency
04575 E616    1 Vanadium deficiency                                          Vanadium deficiency
04576 E617    1 Deficiency of multiple nutrient elements                     Deficiency of multiple nutrient elements
04577 E618    1 Deficiency of other specified nutrient elements              Deficiency of other specified nutrient elements
04578 E619    1 Deficiency of nutrient element, unspecified                  Deficiency of nutrient element, unspecified
04579 E63     0 Other nutritional deficiencies                               Other nutritional deficiencies
04580 E630    1 Essential fatty acid [EFA] deficiency                        Essential fatty acid [EFA] deficiency
04581 E631    1 Imbalance of constituents of food intake                     Imbalance of constituents of food intake
04582 E638    1 Other specified nutritional deficiencies                     Other specified nutritional deficiencies
04583 E639    1 Nutritional deficiency, unspecified                          Nutritional deficiency, unspecified
04584 E64     0 Sequelae of malnutrition and other nutritional deficiencies  Sequelae of malnutrition and other nutritional deficiencies
04585 E640    1 Sequelae of protein-calorie malnutrition                     Sequelae of protein-calorie malnutrition
04586 E641    1 Sequelae of vitamin A deficiency                             Sequelae of vitamin A deficiency
04587 E642    1 Sequelae of vitamin C deficiency                             Sequelae of vitamin C deficiency
04588 E643    1 Sequelae of rickets                                          Sequelae of rickets
04589 E648    1 Sequelae of other nutritional deficiencies                   Sequelae of other nutritional deficiencies
04590 E649    1 Sequelae of unspecified nutritional deficiency               Sequelae of unspecified nutritional deficiency
04591 E65     1 Localized adiposity                                          Localized adiposity
04592 E66     0 Overweight and obesity                                       Overweight and obesity
04593 E660    0 Obesity due to excess calories                               Obesity due to excess calories
04594 E6601   1 Morbid (severe) obesity due to excess calories               Morbid (severe) obesity due to excess calories
04595 E6609   1 Other obesity due to excess calories                         Other obesity due to excess calories
04596 E661    1 Drug-induced obesity                                         Drug-induced obesity
04597 E662    1 Morbid (severe) obesity with alveolar hypoventilation        Morbid (severe) obesity with alveolar hypoventilation
04598 E663    1 Overweight                                                   Overweight
04599 E668    1 Other obesity                                                Other obesity
04600 E669    1 Obesity, unspecified                                         Obesity, unspecified
04601 E67     0 Other hyperalimentation                                      Other hyperalimentation
04602 E670    1 Hypervitaminosis A                                           Hypervitaminosis A
04603 E671    1 Hypercarotenemia                                             Hypercarotenemia
04604 E672    1 Megavitamin-B6 syndrome                                      Megavitamin-B6 syndrome
04605 E673    1 Hypervitaminosis D                                           Hypervitaminosis D
04606 E678    1 Other specified hyperalimentation                            Other specified hyperalimentation
04607 E68     1 Sequelae of hyperalimentation                                Sequelae of hyperalimentation
04608 E70     0 Disorders of aromatic amino-acid metabolism                  Disorders of aromatic amino-acid metabolism
04609 E700    1 Classical phenylketonuria                                    Classical phenylketonuria
04610 E701    1 Other hyperphenylalaninemias                                 Other hyperphenylalaninemias
04611 E702    0 Disorders of tyrosine metabolism                             Disorders of tyrosine metabolism
04612 E7020   1 Disorder of tyrosine metabolism, unspecified                 Disorder of tyrosine metabolism, unspecified
04613 E7021   1 Tyrosinemia                                                  Tyrosinemia
04614 E7029   1 Other disorders of tyrosine metabolism                       Other disorders of tyrosine metabolism
04615 E703    0 Albinism                                                     Albinism
04616 E7030   1 Albinism, unspecified                                        Albinism, unspecified
04617 E7031   0 Ocular albinism                                              Ocular albinism
04618 E70310  1 X-linked ocular albinism                                     X-linked ocular albinism
04619 E70311  1 Autosomal recessive ocular albinism                          Autosomal recessive ocular albinism
04620 E70318  1 Other ocular albinism                                        Other ocular albinism
04621 E70319  1 Ocular albinism, unspecified                                 Ocular albinism, unspecified
04622 E7032   0 Oculocutaneous albinism                                      Oculocutaneous albinism
04623 E70320  1 Tyrosinase negative oculocutaneous albinism                  Tyrosinase negative oculocutaneous albinism
04624 E70321  1 Tyrosinase positive oculocutaneous albinism                  Tyrosinase positive oculocutaneous albinism
04625 E70328  1 Other oculocutaneous albinism                                Other oculocutaneous albinism
04626 E70329  1 Oculocutaneous albinism, unspecified                         Oculocutaneous albinism, unspecified
04627 E7033   0 Albinism with hematologic abnormality                        Albinism with hematologic abnormality
04628 E70330  1 Chediak-Higashi syndrome                                     Chediak-Higashi syndrome
04629 E70331  1 Hermansky-Pudlak syndrome                                    Hermansky-Pudlak syndrome
04630 E70338  1 Other albinism with hematologic abnormality                  Other albinism with hematologic abnormality
04631 E70339  1 Albinism with hematologic abnormality, unspecified           Albinism with hematologic abnormality, unspecified
04632 E7039   1 Other specified albinism                                     Other specified albinism
04633 E704    0 Disorders of histidine metabolism                            Disorders of histidine metabolism
04634 E7040   1 Disorders of histidine metabolism, unspecified               Disorders of histidine metabolism, unspecified
04635 E7041   1 Histidinemia                                                 Histidinemia
04636 E7049   1 Other disorders of histidine metabolism                      Other disorders of histidine metabolism
04637 E705    1 Disorders of tryptophan metabolism                           Disorders of tryptophan metabolism
04638 E708    0 Other disorders of aromatic amino-acid metabolism            Other disorders of aromatic amino-acid metabolism
04639 E7081   1 Aromatic L-amino acid decarboxylase deficiency               Aromatic L-amino acid decarboxylase deficiency
04640 E7089   1 Other disorders of aromatic amino-acid metabolism            Other disorders of aromatic amino-acid metabolism
04641 E709    1 Disorder of aromatic amino-acid metabolism, unspecified      Disorder of aromatic amino-acid metabolism, unspecified
04642 E71     0 Disord of branched-chain amino-acid metab & fatty-acid metab Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
04643 E710    1 Maple-syrup-urine disease                                    Maple-syrup-urine disease
04644 E711    0 Other disorders of branched-chain amino-acid metabolism      Other disorders of branched-chain amino-acid metabolism
04645 E7111   0 Branched-chain organic acidurias                             Branched-chain organic acidurias
04646 E71110  1 Isovaleric acidemia                                          Isovaleric acidemia
04647 E71111  1 3-methylglutaconic aciduria                                  3-methylglutaconic aciduria
04648 E71118  1 Other branched-chain organic acidurias                       Other branched-chain organic acidurias
04649 E7112   0 Disorders of propionate metabolism                           Disorders of propionate metabolism
04650 E71120  1 Methylmalonic acidemia                                       Methylmalonic acidemia
04651 E71121  1 Propionic acidemia                                           Propionic acidemia
04652 E71128  1 Other disorders of propionate metabolism                     Other disorders of propionate metabolism
04653 E7119   1 Other disorders of branched-chain amino-acid metabolism      Other disorders of branched-chain amino-acid metabolism
04654 E712    1 Disorder of branched-chain amino-acid metabolism, unsp       Disorder of branched-chain amino-acid metabolism, unspecified
04655 E713    0 Disorders of fatty-acid metabolism                           Disorders of fatty-acid metabolism
04656 E7130   1 Disorder of fatty-acid metabolism, unspecified               Disorder of fatty-acid metabolism, unspecified
04657 E7131   0 Disorders of fatty-acid oxidation                            Disorders of fatty-acid oxidation
04658 E71310  1 Long chain/very long chain acyl CoA dehydrogenase deficiency Long chain/very long chain acyl CoA dehydrogenase deficiency
04659 E71311  1 Medium chain acyl CoA dehydrogenase deficiency               Medium chain acyl CoA dehydrogenase deficiency
04660 E71312  1 Short chain acyl CoA dehydrogenase deficiency                Short chain acyl CoA dehydrogenase deficiency
04661 E71313  1 Glutaric aciduria type II                                    Glutaric aciduria type II
04662 E71314  1 Muscle carnitine palmitoyltransferase deficiency             Muscle carnitine palmitoyltransferase deficiency
04663 E71318  1 Other disorders of fatty-acid oxidation                      Other disorders of fatty-acid oxidation
04664 E7132   1 Disorders of ketone metabolism                               Disorders of ketone metabolism
04665 E7139   1 Other disorders of fatty-acid metabolism                     Other disorders of fatty-acid metabolism
04666 E714    0 Disorders of carnitine metabolism                            Disorders of carnitine metabolism
04667 E7140   1 Disorder of carnitine metabolism, unspecified                Disorder of carnitine metabolism, unspecified
04668 E7141   1 Primary carnitine deficiency                                 Primary carnitine deficiency
04669 E7142   1 Carnitine deficiency due to inborn errors of metabolism      Carnitine deficiency due to inborn errors of metabolism
04670 E7143   1 Iatrogenic carnitine deficiency                              Iatrogenic carnitine deficiency
04671 E7144   0 Other secondary carnitine deficiency                         Other secondary carnitine deficiency
04672 E71440  1 Ruvalcaba-Myhre-Smith syndrome                               Ruvalcaba-Myhre-Smith syndrome
04673 E71448  1 Other secondary carnitine deficiency                         Other secondary carnitine deficiency
04674 E715    0 Peroxisomal disorders                                        Peroxisomal disorders
04675 E7150   1 Peroxisomal disorder, unspecified                            Peroxisomal disorder, unspecified
04676 E7151   0 Disorders of peroxisome biogenesis                           Disorders of peroxisome biogenesis
04677 E71510  1 Zellweger syndrome                                           Zellweger syndrome
04678 E71511  1 Neonatal adrenoleukodystrophy                                Neonatal adrenoleukodystrophy
04679 E71518  1 Other disorders of peroxisome biogenesis                     Other disorders of peroxisome biogenesis
04680 E7152   0 X-linked adrenoleukodystrophy                                X-linked adrenoleukodystrophy
04681 E71520  1 Childhood cerebral X-linked adrenoleukodystrophy             Childhood cerebral X-linked adrenoleukodystrophy
04682 E71521  1 Adolescent X-linked adrenoleukodystrophy                     Adolescent X-linked adrenoleukodystrophy
04683 E71522  1 Adrenomyeloneuropathy                                        Adrenomyeloneuropathy
04684 E71528  1 Other X-linked adrenoleukodystrophy                          Other X-linked adrenoleukodystrophy
04685 E71529  1 X-linked adrenoleukodystrophy, unspecified type              X-linked adrenoleukodystrophy, unspecified type
04686 E7153   1 Other group 2 peroxisomal disorders                          Other group 2 peroxisomal disorders
04687 E7154   0 Other peroxisomal disorders                                  Other peroxisomal disorders
04688 E71540  1 Rhizomelic chondrodysplasia punctata                         Rhizomelic chondrodysplasia punctata
04689 E71541  1 Zellweger-like syndrome                                      Zellweger-like syndrome
04690 E71542  1 Other group 3 peroxisomal disorders                          Other group 3 peroxisomal disorders
04691 E71548  1 Other peroxisomal disorders                                  Other peroxisomal disorders
04692 E72     0 Other disorders of amino-acid metabolism                     Other disorders of amino-acid metabolism
04693 E720    0 Disorders of amino-acid transport                            Disorders of amino-acid transport
04694 E7200   1 Disorders of amino-acid transport, unspecified               Disorders of amino-acid transport, unspecified
04695 E7201   1 Cystinuria                                                   Cystinuria
04696 E7202   1 Hartnup's disease                                            Hartnup's disease
04697 E7203   1 Lowe's syndrome                                              Lowe's syndrome
04698 E7204   1 Cystinosis                                                   Cystinosis
04699 E7209   1 Other disorders of amino-acid transport                      Other disorders of amino-acid transport
04700 E721    0 Disorders of sulfur-bearing amino-acid metabolism            Disorders of sulfur-bearing amino-acid metabolism
04701 E7210   1 Disorders of sulfur-bearing amino-acid metabolism, unsp      Disorders of sulfur-bearing amino-acid metabolism, unspecified
04702 E7211   1 Homocystinuria                                               Homocystinuria
04703 E7212   1 Methylenetetrahydrofolate reductase deficiency               Methylenetetrahydrofolate reductase deficiency
04704 E7219   1 Other disorders of sulfur-bearing amino-acid metabolism      Other disorders of sulfur-bearing amino-acid metabolism
04705 E722    0 Disorders of urea cycle metabolism                           Disorders of urea cycle metabolism
04706 E7220   1 Disorder of urea cycle metabolism, unspecified               Disorder of urea cycle metabolism, unspecified
04707 E7221   1 Argininemia                                                  Argininemia
04708 E7222   1 Arginosuccinic aciduria                                      Arginosuccinic aciduria
04709 E7223   1 Citrullinemia                                                Citrullinemia
04710 E7229   1 Other disorders of urea cycle metabolism                     Other disorders of urea cycle metabolism
04711 E723    1 Disorders of lysine and hydroxylysine metabolism             Disorders of lysine and hydroxylysine metabolism
04712 E724    1 Disorders of ornithine metabolism                            Disorders of ornithine metabolism
04713 E725    0 Disorders of glycine metabolism                              Disorders of glycine metabolism
04714 E7250   1 Disorder of glycine metabolism, unspecified                  Disorder of glycine metabolism, unspecified
04715 E7251   1 Non-ketotic hyperglycinemia                                  Non-ketotic hyperglycinemia
04716 E7252   1 Trimethylaminuria                                            Trimethylaminuria
04717 E7253   1 Primary hyperoxaluria                                        Primary hyperoxaluria
04718 E7259   1 Other disorders of glycine metabolism                        Other disorders of glycine metabolism
04719 E728    0 Other specified disorders of amino-acid metabolism           Other specified disorders of amino-acid metabolism
04720 E7281   1 Disorders of gamma aminobutyric acid metabolism              Disorders of gamma aminobutyric acid metabolism
04721 E7289   1 Other specified disorders of amino-acid metabolism           Other specified disorders of amino-acid metabolism
04722 E729    1 Disorder of amino-acid metabolism, unspecified               Disorder of amino-acid metabolism, unspecified
04723 E73     0 Lactose intolerance                                          Lactose intolerance
04724 E730    1 Congenital lactase deficiency                                Congenital lactase deficiency
04725 E731    1 Secondary lactase deficiency                                 Secondary lactase deficiency
04726 E738    1 Other lactose intolerance                                    Other lactose intolerance
04727 E739    1 Lactose intolerance, unspecified                             Lactose intolerance, unspecified
04728 E74     0 Other disorders of carbohydrate metabolism                   Other disorders of carbohydrate metabolism
04729 E740    0 Glycogen storage disease                                     Glycogen storage disease
04730 E7400   1 Glycogen storage disease, unspecified                        Glycogen storage disease, unspecified
04731 E7401   1 von Gierke disease                                           von Gierke disease
04732 E7402   1 Pompe disease                                                Pompe disease
04733 E7403   1 Cori disease                                                 Cori disease
04734 E7404   1 McArdle disease                                              McArdle disease
04735 E7409   1 Other glycogen storage disease                               Other glycogen storage disease
04736 E741    0 Disorders of fructose metabolism                             Disorders of fructose metabolism
04737 E7410   1 Disorder of fructose metabolism, unspecified                 Disorder of fructose metabolism, unspecified
04738 E7411   1 Essential fructosuria                                        Essential fructosuria
04739 E7412   1 Hereditary fructose intolerance                              Hereditary fructose intolerance
04740 E7419   1 Other disorders of fructose metabolism                       Other disorders of fructose metabolism
04741 E742    0 Disorders of galactose metabolism                            Disorders of galactose metabolism
04742 E7420   1 Disorders of galactose metabolism, unspecified               Disorders of galactose metabolism, unspecified
04743 E7421   1 Galactosemia                                                 Galactosemia
04744 E7429   1 Other disorders of galactose metabolism                      Other disorders of galactose metabolism
04745 E743    0 Other disorders of intestinal carbohydrate absorption        Other disorders of intestinal carbohydrate absorption
04746 E7431   1 Sucrase-isomaltase deficiency                                Sucrase-isomaltase deficiency
04747 E7439   1 Other disorders of intestinal carbohydrate absorption        Other disorders of intestinal carbohydrate absorption
04748 E744    1 Disorders of pyruvate metabolism and gluconeogenesis         Disorders of pyruvate metabolism and gluconeogenesis
04749 E748    0 Other specified disorders of carbohydrate metabolism         Other specified disorders of carbohydrate metabolism
04750 E7481   0 Disorders of glucose transport, not elsewhere classified     Disorders of glucose transport, not elsewhere classified
04751 E74810  1 Glucose transporter protein type 1 deficiency                Glucose transporter protein type 1 deficiency
04752 E74818  1 Other disorders of glucose transport                         Other disorders of glucose transport
04753 E74819  1 Disorders of glucose transport, unspecified                  Disorders of glucose transport, unspecified
04754 E7489   1 Other specified disorders of carbohydrate metabolism         Other specified disorders of carbohydrate metabolism
04755 E749    1 Disorder of carbohydrate metabolism, unspecified             Disorder of carbohydrate metabolism, unspecified
04756 E75     0 Disord of sphingolipid metab and oth lipid storage disorders Disorders of sphingolipid metabolism and other lipid storage disorders
04757 E750    0 GM2 gangliosidosis                                           GM2 gangliosidosis
04758 E7500   1 GM2 gangliosidosis, unspecified                              GM2 gangliosidosis, unspecified
04759 E7501   1 Sandhoff disease                                             Sandhoff disease
04760 E7502   1 Tay-Sachs disease                                            Tay-Sachs disease
04761 E7509   1 Other GM2 gangliosidosis                                     Other GM2 gangliosidosis
04762 E751    0 Other and unspecified gangliosidosis                         Other and unspecified gangliosidosis
04763 E7510   1 Unspecified gangliosidosis                                   Unspecified gangliosidosis
04764 E7511   1 Mucolipidosis IV                                             Mucolipidosis IV
04765 E7519   1 Other gangliosidosis                                         Other gangliosidosis
04766 E752    0 Other sphingolipidosis                                       Other sphingolipidosis
04767 E7521   1 Fabry (-Anderson) disease                                    Fabry (-Anderson) disease
04768 E7522   1 Gaucher disease                                              Gaucher disease
04769 E7523   1 Krabbe disease                                               Krabbe disease
04770 E7524   0 Niemann-Pick disease                                         Niemann-Pick disease
04771 E75240  1 Niemann-Pick disease type A                                  Niemann-Pick disease type A
04772 E75241  1 Niemann-Pick disease type B                                  Niemann-Pick disease type B
04773 E75242  1 Niemann-Pick disease type C                                  Niemann-Pick disease type C
04774 E75243  1 Niemann-Pick disease type D                                  Niemann-Pick disease type D
04775 E75248  1 Other Niemann-Pick disease                                   Other Niemann-Pick disease
04776 E75249  1 Niemann-Pick disease, unspecified                            Niemann-Pick disease, unspecified
04777 E7525   1 Metachromatic leukodystrophy                                 Metachromatic leukodystrophy
04778 E7526   1 Sulfatase deficiency                                         Sulfatase deficiency
04779 E7529   1 Other sphingolipidosis                                       Other sphingolipidosis
04780 E753    1 Sphingolipidosis, unspecified                                Sphingolipidosis, unspecified
04781 E754    1 Neuronal ceroid lipofuscinosis                               Neuronal ceroid lipofuscinosis
04782 E755    1 Other lipid storage disorders                                Other lipid storage disorders
04783 E756    1 Lipid storage disorder, unspecified                          Lipid storage disorder, unspecified
04784 E76     0 Disorders of glycosaminoglycan metabolism                    Disorders of glycosaminoglycan metabolism
04785 E760    0 Mucopolysaccharidosis, type I                                Mucopolysaccharidosis, type I
04786 E7601   1 Hurler's syndrome                                            Hurler's syndrome
04787 E7602   1 Hurler-Scheie syndrome                                       Hurler-Scheie syndrome
04788 E7603   1 Scheie's syndrome                                            Scheie's syndrome
04789 E761    1 Mucopolysaccharidosis, type II                               Mucopolysaccharidosis, type II
04790 E762    0 Other mucopolysaccharidoses                                  Other mucopolysaccharidoses
04791 E7621   0 Morquio mucopolysaccharidoses                                Morquio mucopolysaccharidoses
04792 E76210  1 Morquio A mucopolysaccharidoses                              Morquio A mucopolysaccharidoses
04793 E76211  1 Morquio B mucopolysaccharidoses                              Morquio B mucopolysaccharidoses
04794 E76219  1 Morquio mucopolysaccharidoses, unspecified                   Morquio mucopolysaccharidoses, unspecified
04795 E7622   1 Sanfilippo mucopolysaccharidoses                             Sanfilippo mucopolysaccharidoses
04796 E7629   1 Other mucopolysaccharidoses                                  Other mucopolysaccharidoses
04797 E763    1 Mucopolysaccharidosis, unspecified                           Mucopolysaccharidosis, unspecified
04798 E768    1 Other disorders of glucosaminoglycan metabolism              Other disorders of glucosaminoglycan metabolism
04799 E769    1 Glucosaminoglycan metabolism disorder, unspecified           Glucosaminoglycan metabolism disorder, unspecified
04800 E77     0 Disorders of glycoprotein metabolism                         Disorders of glycoprotein metabolism
04801 E770    1 Defects in post-translational mod of lysosomal enzymes       Defects in post-translational modification of lysosomal enzymes
04802 E771    1 Defects in glycoprotein degradation                          Defects in glycoprotein degradation
04803 E778    1 Other disorders of glycoprotein metabolism                   Other disorders of glycoprotein metabolism
04804 E779    1 Disorder of glycoprotein metabolism, unspecified             Disorder of glycoprotein metabolism, unspecified
04805 E78     0 Disorders of lipoprotein metabolism and other lipidemias     Disorders of lipoprotein metabolism and other lipidemias
04806 E780    0 Pure hypercholesterolemia                                    Pure hypercholesterolemia
04807 E7800   1 Pure hypercholesterolemia, unspecified                       Pure hypercholesterolemia, unspecified
04808 E7801   1 Familial hypercholesterolemia                                Familial hypercholesterolemia
04809 E781    1 Pure hyperglyceridemia                                       Pure hyperglyceridemia
04810 E782    1 Mixed hyperlipidemia                                         Mixed hyperlipidemia
04811 E783    1 Hyperchylomicronemia                                         Hyperchylomicronemia
04812 E784    0 Other hyperlipidemia                                         Other hyperlipidemia
04813 E7841   1 Elevated Lipoprotein(a)                                      Elevated Lipoprotein(a)
04814 E7849   1 Other hyperlipidemia                                         Other hyperlipidemia
04815 E785    1 Hyperlipidemia, unspecified                                  Hyperlipidemia, unspecified
04816 E786    1 Lipoprotein deficiency                                       Lipoprotein deficiency
04817 E787    0 Disorders of bile acid and cholesterol metabolism            Disorders of bile acid and cholesterol metabolism
04818 E7870   1 Disorder of bile acid and cholesterol metabolism, unsp       Disorder of bile acid and cholesterol metabolism, unspecified
04819 E7871   1 Barth syndrome                                               Barth syndrome
04820 E7872   1 Smith-Lemli-Opitz syndrome                                   Smith-Lemli-Opitz syndrome
04821 E7879   1 Other disorders of bile acid and cholesterol metabolism      Other disorders of bile acid and cholesterol metabolism
04822 E788    0 Other disorders of lipoprotein metabolism                    Other disorders of lipoprotein metabolism
04823 E7881   1 Lipoid dermatoarthritis                                      Lipoid dermatoarthritis
04824 E7889   1 Other lipoprotein metabolism disorders                       Other lipoprotein metabolism disorders
04825 E789    1 Disorder of lipoprotein metabolism, unspecified              Disorder of lipoprotein metabolism, unspecified
04826 E79     0 Disorders of purine and pyrimidine metabolism                Disorders of purine and pyrimidine metabolism
04827 E790    1 Hyperuricemia w/o signs of inflam arthrit and tophaceous dis Hyperuricemia without signs of inflammatory arthritis and tophaceous disease
04828 E791    1 Lesch-Nyhan syndrome                                         Lesch-Nyhan syndrome
04829 E792    1 Myoadenylate deaminase deficiency                            Myoadenylate deaminase deficiency
04830 E798    1 Other disorders of purine and pyrimidine metabolism          Other disorders of purine and pyrimidine metabolism
04831 E799    1 Disorder of purine and pyrimidine metabolism, unspecified    Disorder of purine and pyrimidine metabolism, unspecified
04832 E80     0 Disorders of porphyrin and bilirubin metabolism              Disorders of porphyrin and bilirubin metabolism
04833 E800    1 Hereditary erythropoietic porphyria                          Hereditary erythropoietic porphyria
04834 E801    1 Porphyria cutanea tarda                                      Porphyria cutanea tarda
04835 E802    0 Other and unspecified porphyria                              Other and unspecified porphyria
04836 E8020   1 Unspecified porphyria                                        Unspecified porphyria
04837 E8021   1 Acute intermittent (hepatic) porphyria                       Acute intermittent (hepatic) porphyria
04838 E8029   1 Other porphyria                                              Other porphyria
04839 E803    1 Defects of catalase and peroxidase                           Defects of catalase and peroxidase
04840 E804    1 Gilbert syndrome                                             Gilbert syndrome
04841 E805    1 Crigler-Najjar syndrome                                      Crigler-Najjar syndrome
04842 E806    1 Other disorders of bilirubin metabolism                      Other disorders of bilirubin metabolism
04843 E807    1 Disorder of bilirubin metabolism, unspecified                Disorder of bilirubin metabolism, unspecified
04844 E83     0 Disorders of mineral metabolism                              Disorders of mineral metabolism
04845 E830    0 Disorders of copper metabolism                               Disorders of copper metabolism
04846 E8300   1 Disorder of copper metabolism, unspecified                   Disorder of copper metabolism, unspecified
04847 E8301   1 Wilson's disease                                             Wilson's disease
04848 E8309   1 Other disorders of copper metabolism                         Other disorders of copper metabolism
04849 E831    0 Disorders of iron metabolism                                 Disorders of iron metabolism
04850 E8310   1 Disorder of iron metabolism, unspecified                     Disorder of iron metabolism, unspecified
04851 E8311   0 Hemochromatosis                                              Hemochromatosis
04852 E83110  1 Hereditary hemochromatosis                                   Hereditary hemochromatosis
04853 E83111  1 Hemochromatosis due to repeated red blood cell transfusions  Hemochromatosis due to repeated red blood cell transfusions
04854 E83118  1 Other hemochromatosis                                        Other hemochromatosis
04855 E83119  1 Hemochromatosis, unspecified                                 Hemochromatosis, unspecified
04856 E8319   1 Other disorders of iron metabolism                           Other disorders of iron metabolism
04857 E832    1 Disorders of zinc metabolism                                 Disorders of zinc metabolism
04858 E833    0 Disorders of phosphorus metabolism and phosphatases          Disorders of phosphorus metabolism and phosphatases
04859 E8330   1 Disorder of phosphorus metabolism, unspecified               Disorder of phosphorus metabolism, unspecified
04860 E8331   1 Familial hypophosphatemia                                    Familial hypophosphatemia
04861 E8332   1 Hereditary vitamin D-dependent rickets (type 1) (type 2)     Hereditary vitamin D-dependent rickets (type 1) (type 2)
04862 E8339   1 Other disorders of phosphorus metabolism                     Other disorders of phosphorus metabolism
04863 E834    0 Disorders of magnesium metabolism                            Disorders of magnesium metabolism
04864 E8340   1 Disorders of magnesium metabolism, unspecified               Disorders of magnesium metabolism, unspecified
04865 E8341   1 Hypermagnesemia                                              Hypermagnesemia
04866 E8342   1 Hypomagnesemia                                               Hypomagnesemia
04867 E8349   1 Other disorders of magnesium metabolism                      Other disorders of magnesium metabolism
04868 E835    0 Disorders of calcium metabolism                              Disorders of calcium metabolism
04869 E8350   1 Unspecified disorder of calcium metabolism                   Unspecified disorder of calcium metabolism
04870 E8351   1 Hypocalcemia                                                 Hypocalcemia
04871 E8352   1 Hypercalcemia                                                Hypercalcemia
04872 E8359   1 Other disorders of calcium metabolism                        Other disorders of calcium metabolism
04873 E838    0 Other disorders of mineral metabolism                        Other disorders of mineral metabolism
04874 E8381   1 Hungry bone syndrome                                         Hungry bone syndrome
04875 E8389   1 Other disorders of mineral metabolism                        Other disorders of mineral metabolism
04876 E839    1 Disorder of mineral metabolism, unspecified                  Disorder of mineral metabolism, unspecified
04877 E84     0 Cystic fibrosis                                              Cystic fibrosis
04878 E840    1 Cystic fibrosis with pulmonary manifestations                Cystic fibrosis with pulmonary manifestations
04879 E841    0 Cystic fibrosis with intestinal manifestations               Cystic fibrosis with intestinal manifestations
04880 E8411   1 Meconium ileus in cystic fibrosis                            Meconium ileus in cystic fibrosis
04881 E8419   1 Cystic fibrosis with other intestinal manifestations         Cystic fibrosis with other intestinal manifestations
04882 E848    1 Cystic fibrosis with other manifestations                    Cystic fibrosis with other manifestations
04883 E849    1 Cystic fibrosis, unspecified                                 Cystic fibrosis, unspecified
04884 E85     0 Amyloidosis                                                  Amyloidosis
04885 E850    1 Non-neuropathic heredofamilial amyloidosis                   Non-neuropathic heredofamilial amyloidosis
04886 E851    1 Neuropathic heredofamilial amyloidosis                       Neuropathic heredofamilial amyloidosis
04887 E852    1 Heredofamilial amyloidosis, unspecified                      Heredofamilial amyloidosis, unspecified
04888 E853    1 Secondary systemic amyloidosis                               Secondary systemic amyloidosis
04889 E854    1 Organ-limited amyloidosis                                    Organ-limited amyloidosis
04890 E858    0 Other amyloidosis                                            Other amyloidosis
